,BreedID,sex,fixed,color,strangeraggr,owneraggr,dogaggr,dogfear,dogrivalry,trainability,chasing,strangerfear,nonsocialfear,sepprobs,touchsens,excitability,attachatten,energy
0,Mixed Breed/Unknown,F,True,black,0.0,0.0,0.0,0.0,0.0,3.125,2.25,1.0,1.0,0.0,0.5,0.6666666667,0.6666666667,2.0
1,American Staffordshire Terrier,M,False,yellow,0.0,0.0,0.0,0.0,0.0,1.625,0.0,0.0,0.0,0.75,0.0,3.3333333333,1.5,1.0
2,Bernese Mountain Dog,M,True,tan,0.2,0.0,0.25,0.0,0.25,2.125,0.5,0.0,0.1666666667,0.375,0.0,2.0,3.1666666667,4.0
3,Sussex Spaniel,M,False,fawn,0.1,0.0,0.0,1.0,0.75,2.625,2.75,0.0,0.0,1.5,0.75,3.3333333333,3.0,3.5
4,Mixed Breed/Unknown,M,False,fawn,0.3,0.0,0.5,0.0,0.0,2.75,2.0,2.0,2.0,0.0,0.25,1.8333333333,2.0,1.0
5,Labrador Retriever,M,False,black,0.4,0.0,0.25,0.25,0.0,3.2857142857,3.25,0.0,0.8333333333,0.0,0.25,2.8333333333,2.6666666667,2.0
6,Mixed Breed/Unknown,M,True,tan,2.1,0.375,2.0,2.0,2.0,2.25,1.75,2.0,2.0,1.875,1.5,2.3333333333,1.8333333333,1.5
7,Cocker Spaniel (American),M,False,red,1.8888888889,0.0,0.5,0.0,0.0,3.25,0.0,2.0,0.6666666667,0.5,0.0,2.6666666667,0.6666666667,3.5
8,Tosa,F,True,brindle,0.0,0.0,3.75,0.0,0.0,2.5,4.0,0.0,0.0,0.875,0.25,1.6666666667,2.3333333333,3.0
9,Treeing Walker Coonhound,F,True,gray,0.8,0.0,3.0,3.0,0.5605337401173409,2.25,3.25,1.0,0.8,0.5714285714,0.75,2.0,1.4,1.5
10,Border Collie,M,True,brindle,0.1111111111,0.0,0.5,0.25,0.0,3.5,1.75,0.0,0.2,0.0,0.3333333333,2.0,1.1666666667,1.5
11,Australian Shepherd,F,True,brown,0.9,0.0,3.25,0.0,1.75,1.875,2.5,0.0,1.8333333333,0.75,2.5,2.3333333333,2.0,3.5
12,Greyhound,M,False,fawn,0.0,0.1666666667,0.6666666667,0.75,1.25,2.6572247162083373,2.75,0.0,0.3333333333,0.25,0.0,2.5,1.6666666667,2.0
13,Greyhound,M,True,yellow,0.0,0.1666666667,0.6666666667,0.25,0.75,2.8333333333,2.5,0.0,0.0,0.0,0.0,2.1666666667,0.6666666667,1.5
14,Shiba Inu,M,False,red,0.0,0.375,0.9566850056762204,0.7155358339888958,0.5605337401173409,2.125,3.25,0.25,0.7606392694077911,0.75,1.25,1.5,1.5,3.0
15,Bouvier des Flandres,F,True,tan,1.2,0.0,1.75,0.0,0.5605337401173409,3.0,3.0,0.5,0.0,0.25,0.25,2.0,2.1666666667,3.0
16,Bouvier des Flandres,F,False,white,0.3,0.0,0.25,0.75,0.25,2.25,1.25,0.0,0.1666666667,1.0,0.5,1.0,1.6666666667,1.0
17,Australian Cattle Dog,M,True,red,1.8,0.375,2.0,1.75,1.5,2.0,3.5,1.5,0.5,0.75,0.5,3.3333333333,2.6666666667,4.0
18,American Pit Bull Terrier,F,False,brown,0.0,0.0,0.0,0.5,0.0,1.7142857143,0.0,0.0,0.0,0.375,0.6520751157603326,0.8333333333,1.8,0.0
19,German Shepherd,F,True,white,0.2,0.0,0.25,0.25,0.5605337401173409,3.625,1.0,0.25,0.0,0.125,0.0,1.1666666667,1.6666666667,1.5
20,Tibetan Terrier,M,True,fawn,0.1,0.375,0.25,0.0,0.0,2.75,0.75,0.0,1.6666666667,0.375,0.75,3.3333333333,0.8333333333,3.0
